,lordo_speed,out_speed,volume,gaps,colb,gr,mano,h1,h2,h3,fr_cu_pm_nb,r1_p_b,tool,layers,ff_cf,sin_st,gr_cat
45319,150.39685768310926,76.04505989998731,1200.0,336.0,N,75.0,1.27,1360.0,,,Bulb,,T5,6,FF,singolo,"(66.0, 78.0]"
45519,205.95763888888885,177.35,2500.0,216.0,N+1,75.0,1.27,1170.0,,,Bulb,P:207U,T5,6,FF,singolo,"(66.0, 78.0]"
45819,941.6326628681098,779.9890627839112,5500.0,800.0,Q,53.0,1.05,1350.0,,,Groove,,T5,4,CF,singolo,"(0.0, 56.0]"
45919,134.67895133472683,100.57633710884804,8000.0,880.0,Q,54.0,1.1,1350.0,,,Groove,,T5,4,CF,singolo,"(0.0, 56.0]"
46319,208.92620475289894,144.23551531810205,3000.0,160.0,N,80.0,1.3,1320.0,,,Groove,,T5,4,CF,singolo,
48419,275.57609809621886,236.06657609971637,20800.0,640.0,Q,80.0,0.92,1300.0,,,Groove,,T5,4,CF,singolo,
48619,147.62592669470914,105.39641891127447,7000.0,1240.0,Q,50.0,1.08,1350.0,,,Groove,,T5,4,CF,singolo,"(0.0, 56.0]"
50119,161.41935483870967,152.4516129032258,9000.0,64.0,Q,55.0,1.1,1200.0,,,Staple,,T5,4,CF,singolo,"(0.0, 56.0]"
53319,154.8547533016139,124.09809496379197,3100.0,320.0,Q,90.0,1.3,1372.0,,,Smooth,,T5,4,CF,singolo,
54519,150.4350774789799,91.62910673337504,3500.0,320.0,Q,80.0,1.24,1350.0,,,Groove,,T5,4,CF,singolo,
54619,244.25957042878727,205.30472969916482,4500.0,360.0,Q,80.0,1.24,1350.0,,,Groove,,T5,4,CF,singolo,
55419,127.38511040779949,92.13203705724713,1200.0,880.0,N+1,55.0,1.1,1370.0,,,Groove,P2935,T5,4,FF,stecca,"(0.0, 56.0]"
55619,200.5160984848485,169.9848484848485,5000.0,200.0,Q,80.0,2.0,1200.0,,,Smooth,,T5,4,CF,stecca,
56319,120.30873349339734,80.26390556222488,3500.0,360.0,Q,80.0,1.0,1350.0,,,Groove,,T5,4,CF,singolo,
56419,149.74142218694453,130.47122211799325,4000.0,720.0,Q,54.0,1.05,1350.0,,,Groove,,T5,4,CF,singolo,"(0.0, 56.0]"
58019,221.34013605442175,151.51360544217687,5000.0,200.0,Q,80.0,2.0,1200.0,,,Smooth,,T5,4,CF,stecca,
58519,214.4220779220779,203.2398538961039,27000.0,96.0,Q,70.0,1.25,1080.0,,,Groove,,T5,4,CF,singolo,"(66.0, 78.0]"
58619,147.72091239468352,130.88634873826467,26400.0,672.0,Q,54.0,1.1,1350.0,1080,1080,Groove,,T5,4,CF,singolo,"(0.0, 56.0]"
58919,131.90050203468317,92.53760477062042,1700.0,840.0,Q,80.0,0.92,1300.0,,,Groove,,T5,4,CF,singolo,
59019,165.41282610069928,144.45414849268315,26500.0,736.0,Q,54.0,1.1,1350.0,1080,1080,Groove,,T5,4,CF,singolo,"(0.0, 56.0]"
59219,127.0555336414839,94.57233809375113,1700.0,840.0,Q,80.0,0.92,1300.0,,,Groove,,T5,4,CF,singolo,
59519,159.8413347925873,121.66826160556795,17000.0,96.0,Q,70.0,1.25,1080.0,,,Groove,,T5,4,CF,singolo,"(66.0, 78.0]"
59619,155.04719944203094,138.3905874630186,8000.0,128.0,N,70.0,1.25,1080.0,,,Groove,,T5,4,CF,singolo,"(66.0, 78.0]"
59819,116.86037295450579,82.28906840874946,5000.0,320.0,Q,65.0,0.94,1350.0,,,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
61319,267.398633240603,185.94534075176296,5000.0,240.0,Q,90.0,1.24,1372.0,,,Smooth,,T5,4,CF,singolo,
62719,175.77011494252875,164.49425287356323,7700.0,80.0,Q,54.0,1.1,1350.0,,,Staple,,T5,4,CF,singolo,"(0.0, 56.0]"
62919,158.5879132574535,130.57060201753688,3300.0,672.0,Q,54.0,1.1,1350.0,1080,1080,Groove,,T5,4,CF,singolo,"(0.0, 56.0]"
65519,121.43666372760896,103.6121112120432,3600.0,800.0,Q,54.0,1.1,1350.0,,,Groove,,T5,4,CF,singolo,"(0.0, 56.0]"
67019,156.57438555294817,136.32516372597257,9200.0,608.0,Q,60.0,1.0,1350.0,1080,1080,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
67119,145.0767102600096,132.6586674244885,43000.0,720.0,Q,65.0,0.94,1350.0,,,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
67119,145.0767102600096,132.6586674244885,43000.0,720.0,Q,65.0,0.94,1350.0,,,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
67119,145.0767102600096,132.6586674244885,43000.0,720.0,Q,65.0,0.94,1350.0,,,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
67119,145.0767102600096,132.6586674244885,43000.0,720.0,Q,65.0,0.94,1350.0,,,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
67219,159.64611503660302,120.08116395601449,43000.0,128.0,Q,65.0,0.93,1080.0,,,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
67219,159.64611503660302,120.08116395601449,43000.0,128.0,Q,65.0,0.93,1080.0,,,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
67219,159.64611503660302,120.08116395601449,43000.0,128.0,Q,65.0,0.93,1080.0,,,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
67219,159.64611503660302,120.08116395601449,43000.0,128.0,Q,65.0,0.93,1080.0,,,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
67319,151.509803479491,139.87875165248622,43000.0,592.0,Q,65.0,0.94,1350.0,1080,1080,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
67319,151.509803479491,139.87875165248622,43000.0,592.0,Q,65.0,0.94,1350.0,1080,1080,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
67319,151.509803479491,139.87875165248622,43000.0,592.0,Q,65.0,0.94,1350.0,1080,1080,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
67319,151.509803479491,139.87875165248622,43000.0,592.0,Q,65.0,0.94,1350.0,1080,1080,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
67619,171.59291177583827,158.52212107981404,52000.0,848.0,Q,65.0,0.94,1350.0,1080,1080,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
67619,171.59291177583827,158.52212107981404,52000.0,848.0,Q,65.0,0.94,1350.0,1080,1080,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
67619,171.59291177583827,158.52212107981404,52000.0,848.0,Q,65.0,0.94,1350.0,1080,1080,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
67619,171.59291177583827,158.52212107981404,52000.0,848.0,Q,65.0,0.94,1350.0,1080,1080,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
67619,171.59291177583827,158.52212107981404,52000.0,848.0,Q,65.0,0.94,1350.0,1080,1080,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
67619,171.59291177583827,158.52212107981404,52000.0,848.0,Q,65.0,0.94,1350.0,1080,1080,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
67619,171.59291177583827,158.52212107981404,52000.0,848.0,Q,65.0,0.94,1350.0,1080,1080,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
67619,171.59291177583827,158.52212107981404,52000.0,848.0,Q,65.0,0.94,1350.0,1080,1080,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
67619,171.59291177583827,158.52212107981404,52000.0,848.0,Q,65.0,0.94,1350.0,1080,1080,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
67719,181.51584353210157,160.57146339798558,52000.0,192.0,Q,65.0,0.94,1350.0,1080,1080,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
67719,181.51584353210157,160.57146339798558,52000.0,192.0,Q,65.0,0.94,1350.0,1080,1080,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
67719,181.51584353210157,160.57146339798558,52000.0,192.0,Q,65.0,0.94,1350.0,1080,1080,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
67719,181.51584353210157,160.57146339798558,52000.0,192.0,Q,65.0,0.94,1350.0,1080,1080,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
67719,181.51584353210157,160.57146339798558,52000.0,192.0,Q,65.0,0.94,1350.0,1080,1080,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
67719,181.51584353210157,160.57146339798558,52000.0,192.0,Q,65.0,0.94,1350.0,1080,1080,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
67719,181.51584353210157,160.57146339798558,52000.0,192.0,Q,65.0,0.94,1350.0,1080,1080,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
67719,181.51584353210157,160.57146339798558,52000.0,192.0,Q,65.0,0.94,1350.0,1080,1080,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
67719,181.51584353210157,160.57146339798558,52000.0,192.0,Q,65.0,0.94,1350.0,1080,1080,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
68019,166.22164323825433,143.29733276336137,52000.0,128.0,Q,65.0,0.93,1080.0,,,Smooth,,T5,4,CF,singolo,"(56.0, 66.0]"
68019,166.22164323825433,143.29733276336137,52000.0,128.0,Q,65.0,0.93,1080.0,,,Smooth,,T5,4,CF,singolo,"(56.0, 66.0]"
68019,166.22164323825433,143.29733276336137,52000.0,128.0,Q,65.0,0.93,1080.0,,,Smooth,,T5,4,CF,singolo,"(56.0, 66.0]"
